N;Name;Work;Scopus;Wos
183;Климов Александр Владимирович;Передовая инженерная школа электротранспорта Московского Политеха (Доцент, к.н.), 0.4;57218166154;GOP-2293-2022
184;Клюев Роман Владимирович;Техника и технология горного и нефтегазового производства (Профессор, д.н.), 0.25;57194206632;J-8000-2014
185;Ковалева Виктория Викторовна;СМАРТ-технологии (Доцент, к.н.), 0.25;;CAG-0760-2022
186;Коган Ефим Александрович;Математика (Доцент, к.н.), 0.5;56911934600;
187;Кожухова Валентина Валерьевна;Иностранные языки (Старший преподаватель), 0.5;Kozhukhova;Kozhukhova
188;Кокорина Юлия Георгиевна;Гуманитарные дисциплины (Профессор, д.н.), 0.4;57219245095;С-1481-2018
189;Колищак Лариса Михайловна;Промышленное и гражданское строительство (Преподаватель), 0.8;58072427400;AGF-1246-2022
190;Колодочкин Алексей Александрович;Информатика и информационные технологии (Старший преподаватель), 1;58078903200;
191;Колтунов Игорь Ильич;Прикладная информатика (Профессор, д.н.), 0.5;6507033700;
192;Комаров Иван Александрович;Сектор научной деятельности (Доцент, к.н.), 0.25;55967329900;J-7230-2013
193;Комарова Людмила Юрьевна;Инновационные материалы принтмедиаиндустрии (Доцент, к.н.), 0.5;57219361135;O-4188-2015
194;Комлев Михаил Алексеевич;Физическое воспитание (Старший преподаватель), 1;58202518100;JFL-0896-2023
195;Кондратов Александр Петрович;Центр проектной деятельности (Профессор, д.н.), 0.5;6603924314;ADR-7029-2022
196;Кононенко Ксения Михайловна;Информатика и информационные технологии (Преподаватель), 1;57216147805;
197;Копылов Сергей Васильевич;Физика (Доцент, к.н.), 0.5;7003447061;E-8087-2017
198;Кореневская Евгения Александровна;Центр проектной деятельности (Преподаватель), 0.5;;ResearcherID Web of Science:ХКЭ-6083-2023
199;Корнеев Сергей Дмитриевич;Промышленная теплоэнергетика (Профессор, д.н.), 0.75;7006776194;
200;Корнилов Иван Константинович;Полиграфические системы (Профессор, д.н.), 1;;V-8114-2017
201;Корнюшин Максим Витальевич;Материаловедение (Преподаватель), 0.15;57219230569;
202;Коротицкий Андрей Викторович;Физика (Доцент, к.н.), 0.25;6507001888;A-4209-2014
203;Коротун Ольга Николаевна;Менеджмент (Доцент, к.н.), 1;58566084900;AAH-2329-2020
204;Корячко Марина Валерьевна;Физика (Доцент, к.н.), 1;56376049800;F-7539-2019
205;Косарин Сергей Петрович;Центр проектной деятельности (Доцент, к.н.), 0.5;57220956088;D-2372-2019
206;Косач Лев Анатольевич;Энергоустановки для транспорта и малой энергетики (Старший преподаватель), 1;57205459363;B-8771-2017
207;Косенок Юрий Николаевич;Экологическая безопасность технических систем (Профессор, д.н.), 0.45;DOI: 10.5890/JEAM.2023.06.005;
208;Кошель Илья Сергеевич;Менеджмент (Старший преподаватель), 1;0000-0001-6561-3893;ABB-8269-2021
209;Кошмин Александр Николаевич;Сектор научной деятельности (Доцент, к.н.), 0.25;57201582427;AAN-3903-2021
210;Крамер Светлана Михайловна;ХимБиотех (Доцент, к.н.), 0.9;0000-0003-0410-7078;ABF-7555-2020
211;Красин Валерий Павлович;Физика (Профессор, д.н.), 0.5;6603621623;B-9338-2017
212;Красников Александр Сергеевич;Информационная безопасность (Доцент, к.н.), 0.5;24174575300;L-9866-2014
213;Красникова Ирина Николаевна;Инфокогнитивные технологии (Старший преподаватель), 1;57190855058;
214;Крекова Марина Михайловна;Управление персоналом (Заведующий кафедрой, д.н.), 1;57212484981;ABF-1756-2021
215;Крестовский Сергей Александрович;Иллюстрация и эстамп (Доцент), 0.5;krestovskiy52;krestovskiy52
216;Кругликова Елена Сергеевна;Экологическая безопасность технических систем (Доцент, к.н.), 0.5;7801400297;
217;Кружалов Алексей Сергеевич;Инфокогнитивные технологии (Преподаватель), 1;57221106319;ABC-1856-2022
218;Крутина Елена Васильевна;Обработка материалов давлением и аддитивные технологии (Доцент, к.н.), 0.5;56112627900;N-2972-2015
219;Крутских Владислав Викторович;Автоматика и управление (Доцент, к.н.), 0.4;56439866300;000-0001-9472-8235
220;Крутякова Маргарита Викторовна;Технологии и оборудование машиностроения (Доцент, к.н.), 0.6;57197729411;
221;Крылова Лелия Сергеевна;Художественно-техническое оформление печатной продукции (Ассистент), 0.75;58823388500;
222;Крюкова Людмила Юрьевна;Инновационные материалы принтмедиаиндустрии (Доцент, к.н.), 0.3;6603823540;AAP-8161-2021.
223;Ксенофонтова Халидя Зейнятулловна;Центр проектной деятельности (Доцент, к.н.), 1;57220060022;AAS-6372-2020
224;Кублашвили Оксана Вячеславовна;Технологии и управление качеством в полиграфическом и упаковочном производстве (Доцент, к.н.), 0.5;57218906428;O-1183-2015
225;Кудряшов Алексей Валерьевич;Физика (Профессор, д.н.), 0.25;7004918935;E-1280-2014
226;Кузина Александра Владимировна;Техника и технология горного и нефтегазового производства (Заведующий кафедрой), 1;57218871596;3460938
227;Кузнецов Александр Валерьевич;Автоматика и управление (Доцент, к.н.), 1;57210933721;
228;Кузнецова Ирина Анатольевна;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Профессор, д.н.), 0.75;16429087000;AAI-3391-2020
229;Кузовов Сергей Сергеевич;Центр проектной деятельности (Доцент, к.н.), 1;57211641260;IWV-3654-2023
230;Кулибаба Ирина Викторовна;Инфокогнитивные технологии (Старший преподаватель), 0.75;58078395900;CAF-4444-2022
231;Куликов Владимир Владиславович;Центр проектной деятельности (Профессор, д.н.), 1;57205210904;
232;Куликов Григорий Борисович;Полиграфические системы (Профессор, д.н.), 0.35;55049253400;A-9239-2016
233;Куликова Светлана Викторовна;Прикладная информатика (Доцент, к.н.), 1;57200074764;U-2456-2018
234;Кульмухаметова Александра Сериковна;Автоматика и управление (Доцент, к.н.), 0.5;56512266300;M-5416-2016
235;Куприянова Татьяна Георгиевна;Издательское дело и книговедение (Профессор, д.н.), 1;;DOI 10.20339/PhS2-21.092
236;Курбакова Марина Андреевна;Иностранные языки (Доцент, к.н.), 1;0000-0002-1173-921X;AAI-2014-2020
237;Курбатова Ирина Александровна;Материаловедение (Доцент, к.н.), 0.5;56045416600;H-2516-2019
238;Куренная Виктория Витальевна;Экономика и организация (Профессор, д.н.), 0.75;56658682800;GSI-4593-2022
239;Курмышева Александра Юрьевна;Экологическая безопасность технических систем (Доцент, к.н.), 0.5;57214824963;AAT-6008-2020
240;Лагуткин Михаил Георгиевич;Аппаратурное оформление и автоматизация технологических производств имени профессора М.Б. Генералова (Профессор, д.н.), 0.5;6701688031;AAG-9532-2020
241;Лазарева Ольга Юрьевна;Информатика и информационные технологии (Доцент, к.н.), 1;57033904400;M-4422-2015
242;Ларцева Татьяна Александровна;Стандартизация, метрология и сертификация (Старший преподаватель), 0.5;57218337773;AAH-2681-2020
243;Ластовиря Вячеслав Николаевич;Оборудование и технологии сварочного производства (Профессор, д.н.), 0.3;6602318932;
244;Латыпов Рашит;Оборудование и технологии сварочного производства (Профессор, д.н.), 1;7003894968;ABH-1608-2020
245;Латыпова Гюльнара Рашитовна;Оборудование и технологии сварочного производства (Доцент, к.н.), 1;57191287566;AAK-4553-2021
246;Лебедева Симона Эрнестовна;Журналистика и массовые коммуникации имени М.Ф. Ненашева (Доцент, к.н.), 0.75;;HNC-2938-2023
